年次,参加校数,公立普通校校数,公立普通校校数が全体に占める割合,公立実業校校数,公立実業校校数が全体に占める割合,私立校校数,私立校校数が全体に占める割合
1948,23,12,52.2 ,6,26.1 ,5,21.7 
1949,23,18,78.3 ,2,8.7 ,3,13.0 
1950,23,17,73.9 ,3,13.0 ,3,13.0 
1951,23,12,52.2 ,7,30.4 ,4,17.4 
1952,23,12,52.2 ,6,26.1 ,5,21.7 
1953,23,12,52.2 ,4,17.4 ,7,30.4 
1954,23,10,43.5 ,7,30.4 ,6,26.1 
1955,23,13,56.5 ,3,13.0 ,7,30.4 
1956,23,12,52.2 ,5,21.7 ,6,26.1 
1957,23,9,39.1 ,9,39.1 ,5,21.7 
1958,47,21,44.7 ,15,31.9 ,11,23.4 
1959,29,13,44.8 ,5,17.2 ,11,37.9 
1960,30,12,40.0 ,10,33.3 ,8,26.7 
1961,30,11,36.7 ,8,26.7 ,11,36.7 
1962,30,7,23.3 ,10,33.3 ,13,43.3 
1963,48,17,35.4 ,16,33.3 ,15,31.3 
1964,30,6,20.0 ,9,30.0 ,15,50.0 
1965,30,9,30.0 ,10,33.3 ,11,36.7 
1966,30,9,30.0 ,8,26.7 ,13,43.3 
1967,30,9,30.0 ,8,26.7 ,13,43.3 
1968,48,13,27.1 ,17,35.4 ,18,37.5 
1969,30,5,16.7 ,14,46.7 ,11,36.7 
1970,30,5,16.7 ,14,46.7 ,11,36.7 
1971,30,10,33.3 ,9,30.0 ,11,36.7 
1972,30,8,26.7 ,10,33.3 ,12,40.0 
1973,48,12,25.0 ,19,39.6 ,17,35.4 
1974,34,8,23.5 ,10,29.4 ,16,47.1 
1975,38,14,36.8 ,9,23.7 ,15,39.5 
1976,41,8,19.5 ,12,29.3 ,21,51.2 
1977,41,9,22.0 ,14,34.1 ,18,43.9 
1978,49,15,30.6 ,14,28.6 ,20,40.8 
1979,49,18,36.7 ,13,26.5 ,18,36.7 
1980,49,16,32.7 ,13,26.5 ,20,40.8 
1981,49,8,16.3 ,15,30.6 ,26,53.1 
1982,49,11,22.4 ,15,30.6 ,23,46.9 
1983,49,16,32.7 ,14,28.6 ,19,38.8 
1984,49,12,24.5 ,16,32.7 ,21,42.9 
1985,49,10,20.4 ,16,32.7 ,23,46.9 
1986,49,10,20.4 ,18,36.7 ,21,42.9 
1987,49,12,24.5 ,13,26.5 ,24,49.0 
1988,49,10,20.4 ,18,36.7 ,21,42.9 
1989,49,9,18.4 ,12,24.5 ,28,57.1 
1990,49,12,24.5 ,12,24.5 ,25,51.0 
1991,49,9,18.4 ,14,28.6 ,26,53.1 
1992,49,9,18.4 ,7,14.3 ,33,67.3 
1993,49,7,14.3 ,11,22.4 ,31,63.3 
1994,49,15,30.6 ,10,20.4 ,24,49.0 
1995,49,10,20.4 ,11,22.4 ,28,57.1 
1996,49,10,20.4 ,12,24.5 ,27,55.1 
1997,49,9,18.4 ,11,22.4 ,29,59.2 
1998,55,9,16.4 ,7,12.7 ,39,70.9 
1999,49,12,24.5 ,6,12.2 ,31,63.3 
2000,49,7,14.3 ,11,22.4 ,31,63.3 
2001,49,11,22.4 ,8,16.3 ,30,61.2 
2002,49,5,10.2 ,9,18.4 ,35,71.4 
2003,49,9,18.4 ,7,14.3 ,33,67.3 
2004,49,7,14.3 ,9,18.4 ,33,67.3 
2005,49,8,16.3 ,12,24.5 ,29,59.2 
2006,49,6,12.2 ,13,26.5 ,30,61.2 
2007,49,7,14.3 ,6,12.2 ,36,73.5 
2008,55,6,10.9 ,11,20.0 ,38,69.1 
2009,49,5,10.2 ,5,10.2 ,39,79.6 
2010,49,7,14.3 ,9,18.4 ,33,67.3 
2011,49,6,12.2 ,9,18.4 ,34,69.4 
2012,49,7,14.3 ,9,18.4 ,33,67.3 
2013,49,7,14.3 ,7,14.3 ,35,71.4 
2014,49,11,22.4 ,2,4.1 ,36,73.5 
2015,49,5,10.2 ,5,10.2 ,39,79.6 
2016,49,7,14.3 ,3,6.1 ,39,79.6 
2017,49,6,12.2 ,2,4.1 ,41,83.7 
2018,56,3,5.4 ,5,8.9 ,48,85.7 
