都道府県番号,都道府県枝番,予選地区名,年度,校数,優勝校,優勝校公立・実業・私立区別,準優勝校,準優勝校公立・実業・私立区別,準優勝校2,準優勝校2公立・実業・私立区別,準優勝校3,準優勝校3公立・実業・私立区別,備考,選手権出場校,注
1,0,北海道,1948年,68,函館工,公・実,滝川,公,,,,,１道１代表制,,
1,0,北海道,1949年,80,帯広（→帯広柏葉）,公,旭川（→旭川東）,公,,,,,,,
1,0,北海道,1950年,96,北海,私,旭川東,公,,,,,,,
1,0,北海道,1951年,102,北海,私,帯広柏葉（→帯広柏葉・帯広工）,公,,,,,,,
1,0,北海道,1952年,113,函館西,公,函館東(→市函館）,公,,,,,,,
1,0,北海道,1953年,123,北海,私,旭川東,公,,,,,,,
1,0,北海道,1954年,125,北海,私,札幌北,公,,,,,,,
1,0,北海道,1955年,128,芦別,公,釧路江南,公,,,,,,,
1,0,北海道,1956年,134,北海,私,苫小牧工,公・実,,,,,,,
1,0,北海道,1957年,136,函館工,公・実,室蘭清水丘,公,,,,,,,
1,0,北海道,1958年,140,札幌商（→北海学園札幌）,私,苫小牧東,公,,,,,,,
1,1,北北海道,1959年,77,帯広三条,公,旭川北,公,,,,,この年より南北２代表制,,
1,1,北北海道,1960年,76,旭川北,公,帯広柏葉,公,,,,,,,
1,1,北北海道,1961年,80,釧路江南,公,旭川東,公,,,,,,,
1,1,北北海道,1962年,84,帯広三条,公,帯広柏葉,公,,,,,,,
1,1,北北海道,1963年,91,釧路商,公・実,北見北斗,公,,,,,,,
1,1,北北海道,1964年,100,旭川南 *1,私,滝川商（→滝川西）　*2,私,,,,,,,
1,1,北北海道,1965年,109,帯広三条,公,北見柏陽,公,,,,,,,
1,1,北北海道,1966年,109,釧路江南,公,白樺学園,私,,,,,,,
1,1,北北海道,1967年,110,網走南ヶ丘,公,旭川西,公,,,,,,,
1,1,北北海道,1968年,113,北日本学院（→旭川大）,私,芦別工（→芦別）,公・実,,,,,,,
1,1,北北海道,1969年,113,芦別工,公・実,旭川東,公,,,,,,,
1,1,北北海道,1970年,113,北見柏陽,公,名寄（→名寄・名寄産）,公,,,,,,,
1,1,北北海道,1971年,113,留萌,公,旭川竜谷（→旭川龍谷）,私,,,,,,,
1,1,北北海道,1972年,108,北見工,公・実,旭川竜谷,私,,,,,,,
1,1,北北海道,1973年,108,旭川竜谷,私,北見工,公・実,,,,,,,
1,1,北北海道,1974年,109,旭川竜谷,私,釧路商,公・実,,,,,,,
1,1,北北海道,1975年,114,旭川竜谷,私,釧路江南,公,,,,,,,
1,1,北北海道,1976年,110,釧路江南,公,旭川竜谷,私,,,,,,,
1,1,北北海道,1977年,119,釧路江南,公,旭川竜谷,私,,,,,,,
1,1,北北海道,1978年,119,旭川竜谷,私,旭川工,公・実,,,,,,,
1,1,北北海道,1979年,124,釧路工,公・実,砂川北（→砂川）,公,,,,,,,
1,1,北北海道,1980年,125,旭川大,私,稚内大谷,私,,,,,,,
1,1,北北海道,1981年,128,帯広工,公・実,稚内大谷,私,,,,,,,
1,1,北北海道,1982年,129,帯広農,公・実,北見北斗,公,,,,,,,
1,1,北北海道,1983年,128,旭川竜谷,私,旭川北,公,,,,,,,
1,1,北北海道,1984年,134,広尾,公,旭川大,私,,,,,,,
1,1,北北海道,1985年,134,旭川竜谷,私,釧路湖陵,公,,,,,,,
1,1,北北海道,1986年,131,帯広三条,公,帯広北,私,,,,,,,
1,1,北北海道,1987年,129,帯広北,私,釧路湖陵,公,,,,,,,
1,1,北北海道,1988年,133,滝川西,公,旭川竜谷,私,,,,,,,
1,1,北北海道,1989年,131,帯広北,私,砂川北,公,,,,,,,
1,1,北北海道,1990年,132,中標津,公,旭川竜谷,私,,,,,,,
1,1,北北海道,1991年,133,旭川工,公・実,旭川東栄（→旭川永嶺）,公,,,,,,,
1,1,北北海道,1992年,134,砂川北,公,旭川竜谷,私,,,,,,,
1,1,北北海道,1993年,133,旭川大,私,稚内大谷,私,,,,,,,
1,1,北北海道,1994年,135,砂川北,公,滝川西,公,,,,,,,
1,1,北北海道,1995年,133,旭川実,私,帯広南商,公・実,,,,,,,
1,1,北北海道,1996年,132,旭川工,公・実,帯広南商,公・実,,,,,,,
1,1,北北海道,1997年,129,旭川大,私,滝川西,公,,,,,,,
1,1,北北海道,1998年,127,滝川西,公,帯広南商,公・実,,,,,,,
